BDTOC	int
0.058751257	13
0.069959182	24
0.025169368	25
0.039753583	32
0.027558174	33
0.005838182	15
0.034726105	10
0.048979282	20
0.039990184	25
0.038522716	27
0.038637363	30
0.046817301	33
0.021197381	25
0.02040154	20
0.025839742	10
0.02543446	10
0.023885635	17
0.024904396	23
0.021519793	27
0.039308458	23
0.040601042	17
0.047006568	12
0.043042632	21
0.055351249	38
0.041496175	32
0.040695725	28
0.049139737	32
0.051553476	28
0.053570959	25
0.030121025	35
0.016160769	40
0.046555302	30
0.01885062	10
0.007356353	7

